링크아이디,시점노드,시점노드명,종점노드,종점노드명,도로등급,도로명,연장(M),링크권역
(LINK_ID),(F_NODE),(NODE_NAME),(T_NODE),(NODE_NAME),(ROAD_RANK),(ROAD_NAME),(len),(organ)
1040014303,1040024600,능동시장입구,1040001900,군자역사거리,104,능동로,82.26337074,서울특별시
1040014401,1040024700,동궁여관,1040004600,군자삼거리,104,군자로,406.776144,서울특별시
1040014402,1040024800,삼원빌딩,1040024700,동궁여관,104,군자로,80.04912976,서울특별시
1040014501,1040004600,군자삼거리,1040024700,동궁여관,104,군자로,411.2663028,서울특별시
1040014502,1040024700,동궁여관,1040024800,삼원빌딩,104,군자로,80.84229917,서울특별시
1040014601,1040024900,덕산빌딩,1040004600,군자삼거리,104,면목로,381.8164247,서울특별시
1040014602,1040025100,중곡주유소,1040024900,덕산빌딩,104,면목로,81.73215217,서울특별시
1040014701,1040004600,군자삼거리,1040024900,덕산빌딩,104,면목로,381.0728444,서울특별시
1040014702,1040024900,덕산빌딩,1040025100,중곡주유소,104,면목로,81.73215217,서울특별시
1040014802,1040025200,신성시장,1040023800,아차산역앞교차로,104,용마산로,593.3864043,서울특별시
1040014803,1040025800,중곡사거리,1040025200,신성시장,104,용마산로,63.83990998,서울특별시
1040014901,1040023800,아차산역앞교차로,1040025200,신성시장,104,용마산로,599.6155716,서울특별시
1040014902,1040025200,신성시장,1040025800,중곡사거리,104,용마산로,63.83990998,서울특별시
1040015000,1040004800,관음사,1040025800,중곡사거리,104,긴고랑로,727.6903232,서울특별시
1040015100,1040025800,중곡사거리,1040004800,관음사,104,긴고랑로,751.1088506,서울특별시
1040015201,1040026600,장안빌딩,1040001900,군자역사거리,104,능동로,464.9217246,서울특별시
1040015202,1040004900,용마사거리,1040026600,장안빌딩,104,능동로,160.3336433,서울특별시
1040015301,1040001900,군자역사거리,1040026600,장안빌딩,104,능동로,464.8453283,서울특별시
1040015302,1040026600,장안빌딩,1040004900,용마사거리,104,능동로,160.3336433,서울특별시
1040015400,1050000100,군자교서측,1040026300,군자교동측,104,천호대로,203.271317,서울특별시
1040015500,1040026300,군자교동측,1050000100,군자교서측,104,천호대로,202.1101638,서울특별시
1040015600,1040005000,중곡1동사거리,1040025100,중곡주유소,104,면목로,611.5308239,서울특별시
1040015700,1040025100,중곡주유소,1040005000,중곡1동사거리,104,면목로,611.9805599,서울특별시
1040015800,1040004900,용마사거리,1040025800,중곡사거리,104,긴고랑로,569.4494699,서울특별시
1040015902,1040025800,중곡사거리,1040004900,용마사거리,104,긴고랑로,569.1628589,서울특별시
1040016000,1040005000,중곡1동사거리,1040004900,용마사거리,104,긴고랑로,244.4057822,서울특별시
1040016100,1040004900,용마사거리,1040005000,중곡1동사거리,104,긴고랑로,244.4057822,서울특별시
1040016200,1040027200,동곡삼거리,1040005000,중곡1동사거리,104,긴고랑로,313.1174147,서울특별시
1040016300,1040005000,중곡1동사거리,1040027200,동곡삼거리,104,긴고랑로,313.875395,서울특별시
1040016402,1040027700,용곡삼거리,1040025800,중곡사거리,104,용마산로,1006.293607,서울특별시
1040016403,1040027900,용곡삼거리,1040027700,용곡삼거리,104,용마산로,81.48437862,서울특별시
1040016500,1040025800,중곡사거리,1040027900,용곡삼거리,104,용마산로,1074.944479,서울특별시
1040016601,1040027100,동성교회,1040004900,용마사거리,104,능동로,229.2654021,서울특별시
1040016602,1040027900,용곡삼거리,1040027100,동성교회,104,능동로,587.7155922,서울특별시
1040016701,1040004900,용마사거리,1040027100,동성교회,104,능동로,229.2654021,서울특별시
1040016702,1040027100,동성교회,1040027800,용곡삼거리,104,능동로,514.3899772,서울특별시
1040016703,1040027800,용곡삼거리,1040027900,용곡삼거리,104,능동로,83.15990544,서울특별시
1040016801,1040027500,광제사약국,1040005000,중곡1동사거리,104,면목로,233.0974254,서울특별시
1040016802,1060003400,면곡시장앞교차로,1040027500,광제사약국,104,면목로,736.6215138,서울특별시
1040016901,1040005000,중곡1동사거리,1040027500,광제사약국,104,면목로,232.9556122,서울특별시
1040016902,1040027500,광제사약국,1060003400,면곡시장앞교차로,104,면목로,740.1896375,서울특별시
1040017000,1060003300,청수장삼거리,1040027900,용곡삼거리,104,용마산로,202.2601126,서울특별시
1040017100,1040027900,용곡삼거리,1060003300,청수장삼거리,104,용마산로,203.1631123,서울특별시
1040017200,1040005500,자양동571,1040005100,광진구-송파구,103,송파대로,102.1333793,서울특별시
1040017300,1040005100,광진구-송파구,1040005600,잠실대교북측,103,송파대로,106.242174,서울특별시
1040017400,1040005200,자양고가차도,1040005300,잠실대교북측,102,강변북로,443.290052,서울특별시
